id,name
0,amlou
1,apple
2,bahla
3,banana
4,basbousa
5,batbout
6,beghrir
7,better_beldi
8,bissara
9,briouate_with_almonds
10,caesar_salad
11,chebakia
12,chicken_basstila
13,chicken_nuggets
14,chicken_with_potatoes_and_olives
15,chocolate_cake
16,couscous
17,crackers_with_almonds
18,croissant
19,dates
20,feet_of_beef
21,fekkas
22,feves_with_sauce
23,fish_and_vegetables
24,fish_basstila
25,french_fries
26,fried_calamari
27,gazelle_horn
28,hamburger
29,harcha
30,harira
31,jam
32,kaak
33,lasagne
34,lentils
35,liver_with_sauce
36,maakouda
37,meat_brochettes
38,meatball_with_tomato_sauce
39,mhancha
40,msamen
41,nougat
42,omelette
43,orange
44,paella
45,pear
46,pizza
47,rfissa
48,rghayf
49,roasted_chicken
50,salmon
51,seffa
52,seffa_with_rice
53,sellou
54,sfenje
55,snowballs
56,spagetti
57,sweet_bread
58,tagine_with_artichokes_and_peas
59,tagine_with_beef
60,tagine_with_quince
61,tagine_with_vegetables
62,taktouka
63,tkalya
64,tomatoes_and_onion_salad
65,traditional_bread
66,traditional_macaroon
67,white_beans_with_tomatoes
68,zaalouk
69,zitoun
